en,es
I take it that you know how to do that.,Supongo que sabes cómo hacerlo.
You should not try to force your ideas on others.,No está bien intentar imponer las ideas propias a los demás.
I might need some help.,Es posible que necesite un poco de ayuda.
"Fuck, I just bought a new rug and the cat already puked on it.","Mierda, acabo de comprar una alfombra nueva y el gato ya vomitó en ella."
Tom certainly didn't deserve the punishment he received.,Ciertamente Tom no merecía el castigo que recibió.
They cheat.,Engañaron.
I couldn't get it.,No pude obtenerlo.
I eat eggs every morning.,Como huevos todas las mañanas.
You've got three weeks.,Tienes tres semanas.
This hill overlooks the city.,Esta colina domina la ciudad.
What do you plan on doing tomorrow?,¿Qué tienes pensado hacer mañana?
I am going to do my homework when I get home this afternoon.,Voy a hacer los deberes esta tarde cuando llegue a casa.
I don't really remember.,Realmente no recuerdo.
The fountain is over there.,La fuente está allá.
Don't spend so much time watching TV.,No gastes tanto tiempo viendo televisión.
Does her father drink coffee?,¿Su padre bebe café?
Can you read that?,¿Sabes leer eso?
"Unfortunately, my birthday is only once a year.","Por desgracia, mi cumpleaños sólo ocurre una vez al año."
I'd like to know the rest of the story.,Me gustaría saber el resto de la historia.
His novels are too deep for me.,Sus novelas son demasiado profundas para mí.
They're drinking tea.,Están tomando té.
The sun shines for everyone.,El sol brilla para todos.
We are having breakfast.,Nosotros desayunamos.
Trump cheats at golf.,Trump hace trampas al golf.
Do you know Tom's phone number?,¿Te sabes el número de Tom?
"Tom often eats beans, rice, potatoes or pasta.","Tom suele comer frijoles, arroz, papas o fideos."
He came to London by way of Siberia.,Él llegó a Londres pasando por Siberia.
Every quarter I get a bonus.,Cada trimestre tengo una paga extra.
I stopped smoking completely 3 months ago.,Dejé de fumar totalmente tres meses atrás.
I don't believe in her religion.,No creo en su religión.
She attends school at night.,Ella va a la escuela de noche.
She's amazing.,Ella es sorprendente.
"They make a desert, and they call it peace.","Hacen un desierto, y lo llaman paz."
This is the first time I've ever sharpened my knives.,Es la primera vez que afilo mis cuchillos.
My girlfriend is a good dancer.,Mi novia sabe bailar bien.
I don't want to go to work today.,No quiero ir a trabajar hoy.
I have a fish tank.,Tengo una pecera.
Tom can get there in ten minutes if he drives fast.,Tom puede llegar ahí en diez minutos si conduce rápido.
It was one of the best nights I've had.,Fue una de las mejores noches que he tenido.
We've been friends a long time.,Somos amigos desde hace mucho tiempo.
Did you get a letter from my mother?,¿Recibiste una carta de mi madre?
He sees the world from a very communist point of view.,Ve el mundo desde un punto de vista muy comunista.
I love you more than I can say.,Te amo más de lo que pueda decirte.
"In the year 1808, he directed an orchestra in Bamberg.","En el año 1808, él dirigió una orquesta en Bamberg."
The speedometer is recording 100 mph now.,El velocímetro está registrando 100 mph ahora.
The difference between Facebook and Twitter is that Twitter is a microblogging service.,La diferencia entre Facebook y Twitter es que Twitter es un servicio de microbitácoras.
You look younger than your older brother.,Pareces más joven que tu hermano mayor.
"She is pretty, and what is better, very kind.","Ella es bonita, y lo que es mejor, muy amable."
"He who has love, is in God, and God is in him, for God is love.","Aquel que ama está en Dios, y Dios en él, pues Dios es amor."
The doctor emphasized that the patient only had a few days to live.,El doctor hizo hincapié en que al paciente sólo le quedaba unos días de vida.
Your nose is bleeding.,Le sangra la nariz.
Tom has straight hair.,Tom tiene pelo lacio.
Ken was looking for you.,Ken te estaba buscando.
That money isn't mine.,Ese dinero no es mío.
The auction ends Monday.,La subasta termina el lunes.
I have math homework today.,Hoy tengo deberes de matemáticas.
No adversity lasts forever.,Ninguna adversidad dura para siempre.
We're a bit busy at the moment. Can you hang on a minute?,"Estamos un poco ocupados por el momento, ¿Podés esperar un minuto?"
The Battle of Manzikert changed the course of the history of Anatolia.,La Batalla de Manzikert cambió el curso de la historia de Anatolia.
We came back on Monday.,Regresamos el lunes.
What did you see?,¿Qué viste?
What have they done today?,¿Qué han hecho hoy?
He understood he could not win.,Entendió que no podría ganar.
She was unable to completely give up her dream of traveling abroad.,Ella fue incapaz de renunciar completamente a su sueño de viajar al extranjero.
There's a lot of food available.,Hay mucha comida disponible.
You have two balls.,Tienes dos pelotas.
"We'll eat together tomorrow, okay?","Comeremos juntos mañana, ¿de acuerdo?"
You shouldn't have to think so much about it.,No deberías tener que pensar mucho en ello.
You'll fatten up if you eat that much.,"Si comes tanto, vas a engordar."
Leave more space between the lines.,Deja más espacio entre las líneas.
"Tom is very photogenic, isn't he?","Tom es muy fotogénico, ¿no lo es?"
I don't think this is a wasp.,No creo que esto sea una avispa.
She is at the office.,Ella está en la oficina.
I bought a cactus.,Compré un cactus.
I got up early to catch the first train.,Me levanté temprano para tomar el primer tren.
He lives all alone in the woods.,Él vive en el bosque solo.
I'll never let that happen again.,Nunca permitiré que eso vuelva a ocurrir.
"He got out of the bathtub and shout ""Eureka!""","Él salió de la tina y gritó ""¡Eureka!"""
Tom eats at least three bowls of rice every day.,Tom come lo menos tres tazones de arroz cada día.
"If I were you, I would beg for her forgiveness.",Yo que usted le pedía perdón.
"When we sleep, our heart beats slower.",Cuando dormimos el corazón late más lento.
You have two options; beg or steal.,Tienes dos opciones; mendigar o robar.
I don't know if I could overcome so much pain.,No sé si sería capaz de soportar tantos dolores.
"In Soviet Russia, radio listens to the listener!","En la Rusia soviética, ¡la radio escucha al oyente!"
Brace yourselves for impact.,Preparaos para el impacto.
"The next morning, he was onboard the spaceship.",Al día siguiente por la mañana estaba a bordo de la nave espacial.
Read these instructions.,Lea estas instrucciones.
We gave our word.,Dimos nuestra palabra.
They have several options.,Tienen varias opciones.
She lost it.,Ella la perdió.
Eighty percent of all information on computers around the world is in English.,El ochenta por ciento de la información almacenada en los ordenadores de todo el mundo está en inglés.
Yesterday I was told I looked like Kohei Tanaka.,Ayer me dijeron que me veía como Kohei Tanaka.
Close the blinds.,Cierra las persianas.
Would you like me to massage your chest?,¿Quieres que yo te dé un masaje en el pecho?
I don't want something like this to happen.,No quiero que suceda algo así.
Do you know a way to download Youtube videos?,¿Sabes de alguna forma para bajarte los vídeos de YouTube?
I don't eat while I'm driving.,No como mientras conduzco.
Tom said that nobody could help him.,Tom dijo que nadie podía ayudarlo.
I want to punch you in your face.,Quiero darte un puñetazo en la cara.
That law is full of ambiguities.,Esa ley tiene muchos puntos ambiguos.
"Lukewarm Calpis is sweet, but if you add some ice it becomes a bit sour.","El Calpis tibio es dulce, pero si le pones hielo se vuelve ácido."
I like horse races.,Me gustan las carreras de caballos.
Did you live here?,¿Usted vivía aquí?
Tom said Mary was busy.,Tom dijo que Mary estaba ocupada.
The storm has died down.,La tormenta ha cesado.
Tom will have no choice.,Tomás no va a tener otra opción.
Tourism is terrorism.,El turismo es terrorismo.
Tom sat on a stool in the corner.,Tom se sentó en un taburete en la esquina.
I wish I could draw as well as Serafina.,Ya quisiera yo saber dibujar tan bien como Serafina.
"I can't trust you, either.",Yo tampoco puedo confiar en ti.
I really like eating seafood.,Me gusta mucho comer mariscos.
He wants to learn Romanian.,Quiere aprender rumano.
I signed the form.,Firmé el formulario.
Oxygen from the air dissolves in water.,El oxígeno del aire se desvanece en el agua.
Obviously my dogs will protect you!,"¡Obviamente, mis perros los protegerán!"
Yanni's pharmacy opens at 4:00 AM.,La farmacia de Yanni abre a las cuatro de la madrugada.
I'm the person who has to do that.,Yo soy quien tiene que hacer eso.
You never have class or what?!,¡¿Nunca tienes clases o qué?!
"If we had known, we would've avoided it.","Si lo hubiésemos sabido, lo habríamos evitado."
She asked me if I could help her.,Ella me preguntó si la podía ayudar.
Tom may come back.,Puede que Tom vuelva.
Tom felt guilty.,Tom se sintió culpable.
Let's choose the best of the tomato crop and take them to the market.,Vamos a elegir la mejor cosecha de tomates y llevarlos al mercado.
"When I woke up, I found I had been tied up.","Cuando desperté, descubrí que había sido atado."
Why does she want to buy this book?,¿Por qué quiere comprar este libro?
Go to the post office and ask what's our new ZIP code.,Pregunta en correos cuál es nuestro nuevo código postal.
"In 1948, a Jewish state was founded.",En 1948 se fundó un Estado judío.
The players have to abide by the umpire's decision.,Los jugadores deben acatar la decisión del árbitro.
I wanted to warn Tom.,Quería advertirle a Tom.
Shut up and don't say a thing.,Callate y no digas nada.
He turned down my offer.,Él ha rechazado mi oferta.
The days are getting warmer and warmer.,Los días se vuelven más y más cálidos.
She works at the same place her brother does.,Ella trabaja en el mismo lugar que su hermano.
She loves her boyfriend.,Ella ama a su novio.
You can't be too careful in driving a car.,No puedes ser demasiado precavido al manejar un carro.
I'll be by your side no matter what.,"Pase lo que pase, siempre estaré a tu lado."
"A cup of tea, please.","Una taza de té, por favor."
Ziri's dog is very obedient.,El perro de Ziri es muy obediente.
Dogs are a serious danger to traffic.,Los perros son un serio peligro para el tráfico.
Tom's smile vanished.,La sonrisa de Tom se desvaneció.
"My love, if the food isn't ready by seven o'clock, I'm going to go to the restaurant.","Mi querida, si la comida no está lista a las siete, voy a ir al mesón."
My dream is soon realized.,Mi sueño pronto se cumplirá.
The dictionary definition is different.,La definición del diccionario es diferente.
You will be informed.,Se va a enterar.
What is happening?,¿Qué está pasando?
